tensor_index,PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,cohort_label
305,2209,Vladimir Radmanovic,2001,3,2003-04,77,810,345,0.42592592592592593,draft
306,2209,Vladimir Radmanovic,2001,4,2004-05,63,647,267,0.4126738794435858,draft
307,2210,Richard Jefferson,2001,1,2001-02,79,591,270,0.45685279187817257,draft
308,2210,Richard Jefferson,2001,2,2002-03,80,911,456,0.5005488474204172,draft
309,2210,Richard Jefferson,2001,3,2003-04,82,1115,555,0.4977578475336323,draft
310,2210,Richard Jefferson,2001,4,2004-05,33,564,238,0.4219858156028369,draft
311,2211,Troy Murphy,2001,1,2001-02,78,422,178,0.4218009478672986,draft
312,2211,Troy Murphy,2001,2,2002-03,79,749,338,0.4512683578104139,draft
313,2211,Troy Murphy,2001,3,2003-04,28,243,107,0.4403292181069959,draft
314,2211,Troy Murphy,2001,4,2004-05,70,947,392,0.4139387539598733,draft
315,2212,Steven Hunter,2001,1,2001-02,41,147,67,0.4557823129251701,draft
316,2212,Steven Hunter,2001,2,2002-03,30,103,56,0.5436893203883495,draft
317,2212,Steven Hunter,2001,3,2003-04,47,155,82,0.5290322580645161,draft
318,2212,Steven Hunter,2001,4,2004-05,66,219,135,0.6164383561643836,draft
319,2213,Kirk Haston,2001,1,2001-02,15,39,11,0.28205128205128205,draft
320,2214,Michael Bradley,2001,2,2002-03,63,312,151,0.483974358974359,draft
321,2215,Jason Collins,2001,1,2001-02,74,278,117,0.420863309352518,draft
322,2215,Jason Collins,2001,2,2002-03,79,337,140,0.41543026706231456,draft
323,2215,Jason Collins,2001,3,2003-04,77,384,163,0.4244791666666667,draft
324,2215,Jason Collins,2001,4,2004-05,80,450,186,0.41333333333333333,draft
325,2216,Zach Randolph,2001,1,2001-02,35,107,48,0.4485981308411215,draft
326,2216,Zach Randolph,2001,2,2002-03,75,514,264,0.5136186770428015,draft
327,2216,Zach Randolph,2001,3,2003-04,81,1367,663,0.48500365764447695,draft
