PLAYER_ID,COHORT_PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,eligible_for_tensor,excluded_from_embedding_training_low_volume
2203,Shane Battier,2001,2,2002-03,78,569,275,0.4833040421792619,1,0
2203,Shane Battier,2001,3,2003-04,78,541,242,0.44731977818853974,1,0
2203,Shane Battier,2001,4,2004-05,80,612,271,0.44281045751633985,1,0
2204,Eddie Griffin,2001,1,2001-02,73,666,244,0.3663663663663664,1,0
2204,Eddie Griffin,2001,2,2002-03,77,678,271,0.3997050147492625,1,0
2204,Eddie Griffin,2001,4,2004-05,69,522,202,0.38697318007662834,1,0
2205,DeSagana Diop,2001,1,2001-02,14,29,12,0.41379310344827586,1,0
2205,DeSagana Diop,2001,2,2002-03,63,154,54,0.35064935064935066,1,0
2205,DeSagana Diop,2001,3,2003-04,45,147,57,0.3877551020408163,1,0
2205,DeSagana Diop,2001,4,2004-05,28,69,20,0.2898550724637681,1,0
2206,Rodney White,2001,1,2001-02,15,60,21,0.35,1,0
2206,Rodney White,2001,2,2002-03,71,638,260,0.40752351097178685,1,0
2206,Rodney White,2001,3,2003-04,71,467,215,0.4603854389721627,1,0
2206,Rodney White,2001,4,2004-05,54,288,121,0.4201388888888889,1,0
2207,Joe Johnson,2001,1,2001-02,77,584,251,0.4297945205479452,1,0
2207,Joe Johnson,2001,2,2002-03,81,795,316,0.39748427672955977,1,0
2207,Joe Johnson,2001,3,2003-04,82,1287,555,0.43123543123543123,1,0
2207,Joe Johnson,2001,4,2004-05,82,1171,544,0.4645602049530316,1,0
2208,Kedrick Brown,2001,1,2001-02,24,70,23,0.32857142857142857,1,0
2208,Kedrick Brown,2001,2,2002-03,45,170,61,0.3588235294117647,1,0
2208,Kedrick Brown,2001,3,2003-04,52,254,117,0.46062992125984253,1,0
2208,Kedrick Brown,2001,4,2004-05,4,6,2,0.3333333333333333,0,1
2209,Vladimir Radmanovic,2001,1,2001-02,58,354,146,0.4124293785310734,1,0
2209,Vladimir Radmanovic,2001,2,2002-03,71,666,274,0.4114114114114114,1,0
2209,Vladimir Radmanovic,2001,3,2003-04,77,810,345,0.42592592592592593,1,0
2209,Vladimir Radmanovic,2001,4,2004-05,63,647,267,0.4126738794435858,1,0
2210,Richard Jefferson,2001,1,2001-02,79,591,270,0.45685279187817257,1,0
2210,Richard Jefferson,2001,2,2002-03,80,911,456,0.5005488474204172,1,0
2210,Richard Jefferson,2001,3,2003-04,82,1115,555,0.4977578475336323,1,0
